"","PLAYER","TEAM","AGE","POS","HANDED","GP","G","A","P","P/GP","+/-","Sh","Sh%","TOI","W","L","SO","GAA","Sv%","CLAUSE","EXPIRY","CAP HIT","SALARY"
"436","436. Radim Zohorna","PIT",28,"LW, RW","Left",33,"4","3","7","0.21","0","38","0.11","09:45","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"437","437. Marc McLaughlin","BOS",24,"C","Right",1,"1","0","1","1.00","1","2","0.50","12:39","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"438","438. Ethen Frank","WSH",26,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"439","439. Joey Abate","BOS",25,"LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"440","440. Trevor Lewis","LAK",37,"RW, C","Right",82,"8","8","16","0.20","7","130","0.06","11:38","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"441","441. Connor Carrick","SEA",30,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"442","442. Pierre-Édouard Bellemare","SEA",39,"C, LW","Left",40,"4","3","7","0.18","4","36","0.11","09:50","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"443","443. Malcolm Subban","CBJ",30,"G","Left",1,"-","-","-","-","-","-","-","-","0","1","0","3.00",".914",NA,"UFA","$775,000","$775,000"
"444","444. Ashton Sautner","WPG",30,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"445","445. Colin White","MTL",27,"C, RW","Right",28,"0","0","0","0.00","-5","16","0.00","09:31","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"446","446. Alexander Nylander","CBJ",26,"RW, LW","Right",28,"11","4","15","0.54","-1","72","0.15","16:14","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"447","447. Dylan Gambrell","TOR",27,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"448","448. Jeremy Davies","BUF",27,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"449","449. Matt Luff","DET",27,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"450","450. Reilly Walsh","BOS",25,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"451","451. Scott Reedy","DAL",25,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"452","452. Jiri Patera","VGK",25,"G","Left",6,"-","-","-","-","-","-","-","-","1","3","0","3.99",".893",NA,"UFAGroup 6","$775,000","$775,000"
"453","453. Declan Chisholm","MIN",24,"LD/RD","Left",31,"3","6","9","0.29","-7","29","0.10","16:31","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"454","454. David Gustafsson","WPG",24,"LW, C","Left",39,"3","4","7","0.18","1","27","0.11","09:15","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"455","455. Riley Sutter","WSH",24,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"456","456. Mathias Emilio Pettersen","DAL",24,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"457","457. Brady Keeper","MTL",28,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"458","458. Luke Philp","CHI",28,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"459","459. Jimmy Schuldt","SEA",29,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"460","460. Corey Schueneman","COL",28,"LD/RD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"461","461. Wyatt Aamodt","COL",26,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"462","462. Gustavs Grigals","NSH",25,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"RFA","$775,000","$775,000"
"463","463. Steven Kampfer","UTA",35,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"464","464. Devin Shore","SEA",29,"LW, C, RW","Left",21,"1","3","4","0.19","3","15","0.07","08:00","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"465","465. Dakota Mermis","MIN",30,"LD/RD","Left",47,"3","5","8","0.17","-2","42","0.07","14:05","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"466","466. Kale Clague","BUF",26,"LD/RD","Left",3,"0","1","1","0.33","0","2","0.00","12:16","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"467","467. Riley Tufte","COL",26,"LW","Left",5,"1","1","2","0.40","-2","7","0.14","11:07","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"468","468. Casey Fitzgerald","FLA",27,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"469","469. Nicholas Caamano","DAL",25,"LW, RW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"470","470. Fredrik Olofsson","COL",28,"C, LW","Left",57,"3","6","9","0.16","-5","45","0.07","09:45","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"471","471. Adam Gaudette","STL",27,"C, RW","Right",2,"0","0","0","0.00","0","0","0.00","09:48","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"472","472. John Hayden","SEA",29,"C, LW, RW","Right",2,"0","0","0","0.00","-1","1","0.00","06:43","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"473","473. Jacob Peterson","SJS",24,"LW, C","Left",6,"0","0","0","0.00","-3","3","0.00","13:15","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"474","474. Benoit-Olivier Groulx","ANA",24,"C","Left",45,"0","2","2","0.04","-9","32","0.00","12:11","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"475","475. Riley Damiani","CGY",24,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"476","476. Karson Kuhlman","NYI",28,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"477","477. Jasper Weatherby","NSH",26,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"478","478. Jacob Lucchini","MIN",29,"RW, C, LW","Left",40,"2","3","5","0.13","-3","22","0.09","09:35","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"479","479. Jujhar Khaira","MIN",29,"LW, C","Left",1,"0","0","0","0.00","0","1","0.00","08:05","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"480","480. Liam O'Brien","UTA",29,"LW, RW","Left",75,"5","9","14","0.19","0","72","0.07","09:43","-","-","-","-","-",NA,"UFA","$775,000","$800,000"
"481","481. Keith Kinkaid","NJD",34,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFA","$775,000","$775,000"
"482","482. Dustin Tokarski","BUF",34,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFA","$775,000","$775,000"
"483","483. Felix Sandström","PHI",27,"G","Left",5,"-","-","-","-","-","-","-","-","1","2","0","3.88",".823",NA,"UFA","$775,000","$800,000"
"484","484. Caleb Jones","COL",27,"LD/RD","Left",25,"0","5","5","0.20","4","19","0.00","12:12","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"485","485. Will Butcher","MIN",29,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"486","486. Maxime Comtois","CAR",25,"LW","Left",1,"0","1","1","1.00","0","1","0.00","13:04","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"487","487. Eetu Mäkiniemi","SJS",25,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFAGroup 6","$775,000","$775,000"
"488","488. Ivan Prosvetov","COL",25,"G","Left",11,"-","-","-","-","-","-","-","-","4","3","0","3.16",".895",NA,"UFAGroup 6","$775,000","$775,000"
"489","489. Matt Villalta","UTA",25,"G","Left",2,"-","-","-","-","-","-","-","-","0","1","0","4.23",".828",NA,"UFAGroup 6","$775,000","$775,000"
"490","490. Wyatt Kalynuk","STL",27,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"491","491. Jett Woo","VAN",23,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"492","492. Jacob Ingham","LAK",24,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"RFA","$775,000","$775,000"
"493","493. Mac Hollowell","NYR",25,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"494","494. Alex True","FLA",26,"C, RW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"495","495. Gerald Mayhew","FLA",31,"C, RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"496","496. Jerad Rosburg","DAL",28,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"497","497. Alex Petrovic","DAL",32,"RD","Right",1,"0","0","0","0.00","-1","2","0.00","12:52","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"498","498. Troy Grosenick","NSH",34,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFA","$775,000","$775,000"
"499","499. Robert Hägg","ANA",29,"LD","Left",5,"0","0","0","0.00","-4","6","0.00","12:47","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"500","500. Mark Pysyk","CGY",32,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"501","501. Trevor Carrick","ANA",29,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"502","502. Justin Bailey","SJS",29,"RW","Right",59,"5","9","14","0.24","-15","70","0.07","11:16","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"503","503. Josh Jacobs","STL",28,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"504","504. Mitchell Stephens","MTL",27,"C","Right",23,"2","1","3","0.13","2","16","0.13","09:03","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"505","505. Danton Heinen","BOS",28,"LW, RW","Left",74,"17","19","36","0.49","16","119","0.14","14:27","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"506","506. Cam Dineen","EDM",26,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"507","507. Travis Barron","UTA",25,"LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"508","508. Brian Pinho","NYI",29,"C, RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"509","509. Lias Andersson","MTL",25,"C, LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"510","510. Jaret Anderson-Dolan","NSH",24,"C, LW, RW","Left",31,"1","3","4","0.13","-5","31","0.03","11:02","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"511","511. Jake Christiansen","CBJ",24,"LD/RD","Left",12,"0","2","2","0.17","-5","7","0.00","13:13","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"512","512. Cameron Crotty","UTA",25,"RD","Right",1,"0","0","0","0.00","-1","0","0.00","10:03","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"513","513. Benjamin Jones","CGY",25,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"514","514. Ryan McGregor","UTA",25,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"515","515. Linus Weissbach","BUF",26,"LW, RW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"516","516. Jesse Ylönen","MTL",24,"RW, LW","Right",59,"4","4","8","0.14","2","50","0.08","10:14","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"517","517. Tyler Madden","LAK",24,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"518","518. Alec Regula","BOS",23,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"519","519. John Leonard","UTA",25,"LW, RW","Left",6,"1","0","1","0.17","-1","5","0.20","06:52","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"520","520. Jeffrey Viel","WPG",27,"LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"521","521. Callahan Burke","CAR",27,"C, RW","Right",1,"0","0","0","0.00","0","0","0.00","07:06","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"522","522. Brandon Bussi","BOS",26,"G","Right",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"RFA","$775,000","$775,000"
"523","523. Marcus Bjork","CBJ",26,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"524","524. Tyler Wotherspoon","NJD",31,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"525","525. Chris Wideman","MTL",34,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"526","526. Kevin Connauton","LAK",34,"LD/RD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"527","527. Brendan Gaunce","CBJ",30,"LW, C","Left",24,"2","2","4","0.17","-7","24","0.08","11:44","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"528","528. Matthew Peca","STL",31,"LW, C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"529","529. Ken Appleby","NYI",29,"G","Left",1,"-","-","-","-","-","-","-","-","0","0","0","6.00",".750",NA,"UFA","$762,500","$775,000"
"530","530. Tanner Laczynski","PHI",27,"RW, C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"531","531. Calle Rosén","STL",30,"LD","Left",6,"0","1","1","0.17","-1","5","0.00","12:39","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"532","532. Kyle Clifford","TOR",33,"LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"533","533. Haydn Fleury","TBL",27,"LD/RD","Left",24,"1","4","5","0.21","5","25","0.04","16:07","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"534","534. Dennis Gilbert","CGY",27,"LD","Left",34,"1","6","7","0.21","-7","23","0.04","12:17","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"535","535. Will Bitten","STL",25,"RW, C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$762,500","$775,000"
"536","536. Steven Fogarty","MIN",31,"C, RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"537","537. Paul LaDue","NYI",31,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"538","538. Glenn Gawdin","ANA",27,"C, RW","Right",1,"0","0","0","0.00","-1","0","0.00","07:35","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"539","539. Arnaud Durandeau","MTL",25,"LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$762,500","$775,000"
"540","540. Parker Kelly","OTT",25,"LW","Left",80,"8","10","18","0.23","-8","86","0.09","11:42","-","-","-","-","-",NA,"RFA","$762,500","$775,000"
"541","541. David Gust","CHI",30,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"542","542. Billy Sweezey","CBJ",28,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"543","543. Roland McKeown","NSH",28,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"544","544. Austin Czarnik","DET",31,"C, RW","Right",34,"0","1","1","0.03","-3","24","0.00","08:26","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"545","545. Kyle Capobianco","WPG",26,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$762,500","$775,000"
"546","546. Beck Malenstyn","WSH",26,"C, LW","Left",81,"6","15","21","0.26","-1","98","0.06","14:14","-","-","-","-","-",NA,"RFA","$762,500","$775,000"
"547","547. AJ Greer","CGY",27,"RW, LW","Left",59,"6","6","12","0.20","-7","57","0.11","08:49","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"548","548. Greg McKegg","EDM",32,"C, LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"549","549. Andrew Poturalski","SEA",30,"C","Right",2,"0","0","0","0.00","-1","0","0.00","06:52","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"550","550. Dennis Cholowski","NYI",26,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$762,500","$775,000"
"551","551. Vincent Desharnais","EDM",28,"RD","Right",78,"1","10","11","0.14","3","41","0.02","15:43","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"552","552. Jacob MacDonald","SJS",31,"LD/RD","Left",34,"7","2","9","0.26","-14","49","0.14","12:01","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"553","553. Matt Kiersted","FLA",26,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$762,500","$775,000"
"554","554. Jaycob Megna","CHI",31,"LD","Left",44,"0","2","2","0.05","-15","28","0.00","17:31","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"555","555. Dillon Heatherington","OTT",29,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"556","556. Spencer Smallman","COL",27,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"557","557. Liam Foudy","NSH",24,"LW, C","Left",13,"0","3","3","0.23","-2","7","0.00","09:58","-","-","-","-","-",NA,"RFA","$762,500","$775,000"
"558","558. Sheldon Rempal","VGK",28,"LW, RW","Right",9,"2","1","3","0.33","-2","16","0.13","09:58","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"559","559. Brad Hunt","COL",35,"LD/RD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"560","560. Turner Elson","MIN",31,"LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"561","561. Calvin Pickard","EDM",32,"G","Left",23,"-","-","-","-","-","-","-","-","12","7","1","2.45",".909",NA,"UFA","$762,500","$775,000"
"562","562. Nicolas Petan","NYR",29,"C, LW, RW","Left",6,"0","2","2","0.33","-2","11","0.00","10:50","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"563","563. Markus Niemeläinen","EDM",26,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$762,500","$775,000"
"564","564. Daniel Renouf","BOS",30,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"565","565. Jack Studnicka","SJS",25,"RW, C","Right",22,"1","0","1","0.05","-12","20","0.05","11:27","-","-","-","-","-",NA,"RFA","$762,500","$775,000"
"566","566. Nick DeSimone","NJD",29,"RD","Right",34,"2","5","7","0.21","3","28","0.07","13:28","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"567","567. Tyce Thompson","NYI",24,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$762,500","$775,000"
"568","568. Sheldon Dries","VAN",30,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"569","569. Jeff Malott","WPG",27,"LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"570","570. Stefan Noesen","CAR",31,"LW, RW","Right",81,"14","23","37","0.46","13","111","0.13","11:51","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"571","571. Taylor Fedun","PIT",36,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"572","572. Chase De Leo","ANA",28,"C, LW, RW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"573","573. Byron Froese","VGK",33,"C","Right",16,"0","1","1","0.06","-2","17","0.00","10:40","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"574","574. Michael Amadio","VGK",28,"RW, LW","Right",73,"14","13","27","0.37","4","117","0.12","13:23","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"575","575. Lucas Johansen","WSH",26,"LD","Left",6,"0","1","1","0.17","1","4","0.00","14:16","-","-","-","-","-",NA,"UFAGroup 6","$762,500","$775,000"
"576","576. Cooper Marody","PHI",27,"C, RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"577","577. Jordan Gross","NSH",29,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"578","578. Max McCormick","SEA",32,"LW","Left",1,"0","0","0","0.00","0","0","0.00","05:38","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"579","579. Adam Brooks","PHI",28,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"580","580. Colton White","ANA",27,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"581","581. Cameron Hughes","SEA",27,"C, LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$762,500","$775,000"
"582","582. Brandon Biro","BUF",26,"LW","Left",5,"2","0","2","0.40","0","2","1.00","10:50","-","-","-","-","-",NA,"UFAGroup 6","$762,500","$775,000"
"583","583. Alex Barré-Boulet","TBL",27,"RW, LW","Left",36,"6","3","9","0.25","-9","46","0.13","11:11","-","-","-","-","-",NA,"UFA","$758,333","$775,000"
"584","584. Jet Greaves","CBJ",23,"G","Left",9,"-","-","-","-","-","-","-","-","3","6","0","3.50",".908",NA,"RFA","$758,333","$775,000"
"585","585. Boris Katchouk","OTT",26,"LW","Left",59,"7","6","13","0.22","-6","70","0.10","11:28","-","-","-","-","-",NA,"RFA","$758,333","$775,000"
"586","586. Taylor Raddysh","CHI",26,"RW","Right",73,"5","9","14","0.19","-19","120","0.04","15:52","-","-","-","-","-",NA,"RFA","$758,333","$775,000"
