"Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
0.00112225048630854,0.000381242851696531,0.000535857819058676,0.000354515643002747,0.00016383236672237,0,0,0,0.000141123341800734,0.00015450439743285,0,0,0,0.000667739615792898,0.000509619059752835,5.79005268947947e-05,0.00034535497557847,0.00118516452872281,9.46718673079108e-05,0,0.000202388180530257,0.000441444258465613,0.000827192058956234,0.000452796015395065,0.000768077246625946,0.000833468386081078,0,0.000179694519317161,0.000369822485207101,0,0.000463582981353662,0.000148720999405116,0.000268695726516604,0.000310655483069276,0,0.000998929718159115,0.000286960514233241,0.000269705346908502,0.00449998746521597,0,0.000433494689690051,0,0.000829425463361725,0.000169324395661311,0.000489636037212339,0,0.000440237728373322,0.000194052297094067,0.00389825553065003,0.00118119536971415,0
0.000427238850252783,0.000492853622474125,0.000121832358674464,0.000322609027187143,0.000150119807153786,0.000746887966804979,0.0004510599909788,0,0,0.000158289499318138,0,0,0,0.000213867941195615,0.000748474982223719,0,0.000522773312422401,0.000773889636608345,0.000125801987671405,0,7.72439363509964e-05,0.000258131130614352,0.000827925112838181,0.00046652670865407,0.000988609499247797,0.000557698563926198,0.00101214574898785,0.000214638334406525,0.000488233570940338,0,0.000270137939185196,0,0.000316744837668271,0,0.000547845142439737,0.000667484205460952,0.000206925093116292,0.000591715976331361,0.00109734133279261,0,0.000156690692572861,0,0.000332203840276394,0.000475030573776291,0,0,0.000995272455834785,0.000279939533060859,0.000294464075382803,0.000863286768168262,0.000512689054088695
0.000327546675401245,0.00213675213675214,0.000309725376832542,0.000365508208705187,0.000126195704298226,0.000293169158604515,0.00120144173007609,0,0,0.000221437782495995,0,0,0,0.000586393858200944,0.000651607298001738,0.000362932494556013,0.000262106021885853,0.000781143866322511,0.000212594072877248,0.0010752688172043,0,0.000616263760889661,0.000703474255111535,0.000465386852821408,0.000507270882651336,0.000801214472463524,0.00281954887218045,0.001508864579404,0.00070068901086068,0,0.000301215493107481,0.000533120085299214,0.000291240929058564,0.000125893053850754,0.000279524807826695,0.000671251062814183,0.000287348064710784,0.00095389507154213,0.000733644512020074,0,0.000541753734231097,0,0.000511155210776355,0.000139783242784855,0.00193798449612403,0.000490918016691213,0.000578761450495939,0.000331147758129677,0.000875486381322957,0.00106714825151863,0
0.000441491357806671,0.000913659205116492,0,0.000358606557377049,0.000122317509071882,0.00100215849522047,0.00100654252642174,0,0.000140984068800226,0.0001640016400164,3.73566438791139e-05,0,0.000849473326537547,0.00033241839128494,0.000675577860348405,0.000367466927976482,0.000433256791300204,0.000571947649968038,0.000280523067627638,0.00105485232067511,0.000185264357987744,0.000551599638952964,0.000701590271281572,0.000606121830487928,0.000644136213337914,0.00110725464727551,0.00237755587256301,0.00192418703097941,0.00181845734202152,0.00332225913621262,0.000157099935196277,0.000129785853341986,0.000450766302714615,0.00057262836419164,0.00014609203798393,0.000780607479892388,0.000190186382655002,0.000671291116580891,0.000622155276859098,0,0,0.00256739409499358,0.000243857830884594,0.000112894424896984,0.00216239593469564,0,0.000860585197934596,0.00148478099480327,0.000876904527019621,0.00190278498529666,0.000789058390320884
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000235936499376454,0.000941619585687382,0.000296630280018984,0.000390472471690746,0.000288881117817883,0.000633412509897071,0.00124300807955252,0.000388048117966628,0.000284495021337127,0.0004945894907227,0.000608407079646018,0,0.00130378096479791,0.00047270148900969,0.000725071719050471,0.000385377670116714,0.000963664191372371,0.000942364959101361,0.000246046480416937,0.00171673819742489,0.00081732733959951,0.00101593567675829,0.000751184560268115,0.0010699478400428,0.00133890317052271,0.000880475456746643,0.0022583559168925,0.00106477373558119,0.000681663258350375,0.00226052557219554,0.00026777585375868,0,0.000612210539204432,0.00121988411100945,0.000946073793755913,0.00119393352694418,0.000475071920610203,0.000483997822009801,0.00117879269696804,0,0.000769048745858968,0.000916590284142988,0.000451423596556283,0.000182332026620476,0.0019943318988139,0.000296471983397569,0.00257174804323518,0.00102590407796871,0.000430802369413032,0.00280007466865783,0.00134667179684494
0.00105509964830012,0.00215401184706516,0.000162342054709272,0.000410194705753664,0.00047473829045937,0.00108864696734059,0.0193939393939394,0.00485436893203883,0.00445682451253482,0.00348937327230706,0.00149802890932983,0,0.0012666244458518,0.000843056997983994,0.0050522061300101,0.00033907883582933,0.0010186575166202,0.00888058848191485,0.000320416969282693,0.0251924422673198,0.00554109086053809,0.0248164092175234,0.00212983472482535,0.000288142918887768,0.0012854792266557,0.00231519761865388,0.00437956204379562,0.000371333085777943,0.00488372093023256,0.0314099903140999,0.00449561988023527,0.000471787129647103,0.00268393057566244,0.00389196839249912,0.000554221319046739,0.0134503330322312,0.000359749203412478,0.00064743967039435,0.00561348268208331,0.032258064516129,0.00136169413532422,0.00167224080267559,0.00137014455025005,0.00030420428212263,0.00127690623859905,0.00805234021137393,0.00446637540958028,0.00128150363092695,0.00695797383801837,0.00360545969611125,0.00104580631667015
0.00483139420232696,0.000592417061611374,0.000880333352896297,0.00240080869345464,0.00117076285843526,0.00134710372698698,0.0364916773367478,0.00617283950617284,0.00785714285714286,0.010082702529814,0.00212734378865087,0.0103035366193261,0.00191502094554159,0.00559455049340827,0.00903016073686112,0.00353500231803431,0.000948316737790422,0.0204509901178984,0.000902212471036929,0.112752721617418,0.0150576806314511,0.0881728346122264,0.00784221923099432,0.00252716704574172,0.00130106687483737,0.00793005286701911,0.00135135135135135,0.000680272108843537,0.00346320346320346,0.170218037661051,0.0204848548406831,0.00046988065031482,0.00650320012354364,0.00446985446985447,0.00227173438182613,0.039261406604487,0.000681646048977531,0.0017996400719856,0.0168750409111737,0.0610203401133711,0.00704682028446673,0,0.00426015336552116,0.000566071719571501,0.00196136118466216,0.0355638745905475,0.0136429544356079,0.00149300644350149,0.0276946107784431,0.00730826802852866,0.000205380981721093
0.00736872642877865,0.00759144237405107,0.00291216533583842,0.00163230456291906,0.00205554836203548,0.00192307692307692,0.129689174705252,0.0150819672131148,0.0230109204368175,0.0231216628527841,0.00305291723202171,0.002360346184107,0.00209343323049802,0.025700668542707,0.0237006821858077,0.00595753899480069,0.00112412988023693,0.043340891350407,0.00292369539710323,0.2,0.0399641443191156,0.174467966262638,0.0149770424896145,0.0115349324944292,0.00301517987107507,0.0169898661328663,0.00333000333000333,0.000737028301886793,0.00220507166482911,0.219374597034172,0.0378267947776678,0.00219340072477589,0.0369985790796808,0.0111066235864297,0.00949521181626359,0.0810629830871661,0.000716685330347144,0.003554846198491,0.0463589307239594,0.139969834087481,0.0108674837227116,0.000854700854700855,0.00955842371862748,0.00129184967870448,0.006949524506218,0.0893246187363834,0.0343040128089663,0.00452932739488186,0.0304593465978875,0.0300388433318947,0.000696500087062511
0.0084095775744598,0.00256410256410256,0.0117173307496669,0.00395697782499004,0.00657537715712167,0.00228816061411278,0.196406696610862,0.0334993209597103,0.0454118383964923,0.0332883490778228,0.00582721053965037,0.00420168067226891,0.00214072970960536,0.053406361767196,0.0412908267934482,0.0182677743608574,0.0028941296100747,0.0888358872153429,0.00474270353302611,0.243156199677939,0.0898561554268634,0.212284126745758,0.0268452706396938,0.0292198581560284,0.00591500591500591,0.0428079802818211,0.00752056404230317,0.0021583704303251,0.00587507730364873,0.250749131008031,0.0909807470551314,0.00302792418974992,0.0664138888474227,0.0329312031300946,0.0100190015546727,0.160462844572218,0.00167793515274145,0.00896155962581558,0.127133449805134,0.159936238044633,0.0300154188795614,0.00617283950617284,0.0180225788487825,0.00274308300395257,0.00381275153569159,0.138097149739061,0.0562684055532183,0.00940654634444784,0.0673867104954215,0.0612358508071999,0.00117474302496329
0.00245545110144521,0.00249376558603491,0.0341194664604678,0.00771451062713199,0.0130603031280232,0.00579208216396967,0.211491442542787,0.0814159292035398,0.0759951749095295,0.0478577305233846,0.00625051628713826,0,0.00321437402126432,0.0871523518318472,0.048949864498645,0.0162322816643804,0.00354076303443392,0.111705187641704,0.00889583333333333,0.276733635774465,0.136308474343416,0.286305527453325,0.0366743544179364,0.0383905216187106,0.00929337365960957,0.0657652120467117,0.00605263157894737,0.00647120972002113,0.00706420112196136,0.304673721340388,0.153128118523067,0.00559298334816321,0.0885253509687899,0.0722292621113169,0.00993852459016393,0.152175539396116,0.00208451771840061,0.0126905257503525,0.167023099504536,0.189916346371241,0.0506712586498294,0.00146056475170399,0.0309736663103683,0.00240020115971624,0.00668832409707625,0.286221871298855,0.0564043570478484,0.0225496915695682,0.112798264642082,0.077348677658515,0.00397050482132728
0.00574183812433288,0.0444444444444444,0.105336668074187,0.0087981549500299,0.0252379145720699,0.0181365808943888,0.239222316145393,0.200772200772201,0.100790513833992,0.0692106143382763,0.00779494860099394,0.00382848392036753,0.00504514073287307,0.0947808239261105,0.0471661740136229,0.0250674893945237,0.00728145466379205,0.132487690351192,0.0104766029408732,0.315361890694239,0.205072036397338,0.358649247263506,0.116462503734688,0.0706146408839779,0.0124147578247945,0.0911896041342632,0.0100859170713485,0.00303113805456049,0.013182382133995,0.285252263906856,0.208363021018881,0.0260733189570672,0.114407450818893,0.0873846153846154,0.0304129946431657,0.199382229546305,0.00455330507143979,0.0144866087202318,0.1998167737872,0.205009036922282,0.0578989574979952,0.00278219395866455,0.0628274967574578,0.00434418040391065,0.0176245210727969,0.312046444121916,0.06648527975443,0.0415668501133053,0.167919480188559,0.0824217756296108,0.00415656390717007
0.00585456454152703,0.0277349768875193,0.267644486308282,0.0116080388381113,0.0486142444344178,0.0537669822972417,0.247774480712166,0.0909090909090909,0.128571428571429,0.111268350070758,0.0226972719272514,0.0726072607260726,0.0129791988997765,0.144541375177681,0.0899991180880148,0.0371864294397171,0.0158531296679998,0.155549726448325,0.0283510953832307,0.365348399246704,0.242027334851936,0.311050646218539,0.1736153778636,0.112712623097583,0.0292232120556157,0.123855285472018,0.0114093959731544,0.0265545474662536,0.0297345132743363,0.281364636830521,0.25236882322975,0.0600545950864422,0.197613451455433,0.153512484130343,0.0756868843960601,0.225889067759403,0.0098892608807623,0.0358318098720293,0.191180466596794,0.186151368760064,0.070620015436069,0.00408997955010225,0.132890365448505,0.0104519540609766,0.0211915233906437,0.408080808080808,0.116034774209128,0.0830314850933408,0.230402181322427,0.13758865248227,0.00927643784786642
0.022885389967045,0.0642369020501139,0.489006312504433,0.0271211514161556,0.0823965940833978,0.154348494161033,0.273624823695346,0.225641025641026,0.225749559082892,0.138878899226018,0.0444038929440389,0.102053140096618,0.0792918774174353,0.168236695360295,0.124183536857479,0.0505345599204376,0.0473998417607711,0.185912128353294,0.0621529447772288,0.400658616904501,0.210393216641047,0.377558615556383,0.260031678986272,0.181442995062274,0.0539595117594522,0.154603945857917,0.0586287495130503,0.0618817091138708,0.0489659367396594,0.35050196420777,0.40182570593963,0.156283336889268,0.23754078576856,0.199213359094673,0.100224382946896,0.253762498711473,0.0262701076264321,0.111967213114754,0.260262123197903,0.210660437460183,0.103366986111823,0.021558872305141,0.20559876411677,0.0245620793123023,0.053554040895813,0.55833604159896,0.161916679251796,0.196831627646152,0.286430295155003,0.150638519676831,0.0488008923591746
0.0928331936295054,0.165208940719145,0.560044430339575,0.0536156704862186,0.153703788854148,0.287634900310957,0.386363636363636,0.318936877076412,0.30225988700565,0.166812388606786,0.0750839947411988,0.0877055599060298,0.208915304606241,0.166058544347206,0.163352694280748,0.062822402358143,0.151686986107173,0.220211887727023,0.12166425100179,0.413127413127413,0.222188038395274,0.41022086683301,0.301533219761499,0.26216168406156,0.0811609498680739,0.189012231778816,0.221162662754447,0.120024875621891,0.192738378011537,0.381761978361669,0.445373172228453,0.33955078125,0.245733256093757,0.327822390174776,0.28587528174305,0.314872811883327,0.079294041217021,0.35172570390554,0.285348011878033,0.305411764705882,0.138797526641231,0.102717031146455,0.274857465071111,0.0440917878089538,0.141164856860809,0.512857836001941,0.199564923544817,0.372979351032448,0.369055036344756,0.196684775038306,0.0967808930425753
